"By the end of the week, she will have been studying for her exams for a month."
"By next month, she will have been working as a nurse for ten years."
"By next year, he will have been running his own business for five years."
They will have been studying for the exam for two weeks by Friday.
I will have been exercising regularly for a year by the end of the month.
"By the time the movie ends, they will have been watching it for three hours."
"By next week, the team will have been preparing for the competition for six months."
The organization will have been conducting research on this topic for years.
We will have been living in this house for five years by the end of the lease.
They will have been renovating the house for months by the time it's ready.
"In a few weeks, they will have been training for the marathon for a year."
He will have been pursuing his passion for painting for years by next month.
I will have been working at this company for a decade next month.
We will have been living in this country for ten years by next summer.
We will have been saving for a down payment on a house for five years by next month.
"By the end of the quarter, we will have been working on this project for six months."
"In three months, she will have been practicing yoga for two years."
"By next month, she will have been practicing the piano for five years."
She will have been running her own business for five years by next week.
"In four months, she will have been learning how to play the guitar for a year."
"By the time he retires, he will have been working in the company for four decades."
They will have been studying for the exam for months when the results are announced.
"By the time you finish your training, you will have been exercising for three months."
"In a week's time, she will have been teaching the course for a year."
"By next summer, they will have been living in their new house for a year."
"By this time tomorrow, she will have been running for five hours straight."
"By next summer, she will have been working as a lifeguard for ten years."
"By this time next year, I will have been working at my dream job for five years."
"By this time next year, I will have been living in this city for five years."
I will have been learning how to cook for three months by the end of the year.
He will have been exercising regularly for a year when he runs his first marathon.
"By next winter, we will have been skiing in these mountains for a decade."
"By the time the conference ends, they will have been attending workshops for days."
They will have been working on the construction site for weeks when the project ends.
"In a few years, they will have been married for a decade."
The team will have been collaborating on this research project for several months.
"By the end of the year, she will have been pursuing her career for a decade."
He will have been training for the marathon for six months by race day.
"By this time next month, he will have been waiting for the exam results anxiously."
"By the end of the year, she will have been volunteering at the shelter for five years."
They will have been traveling around the world for six months by December.
She will have been taking photography lessons for a year in June.
"By next year, they will have been traveling around the world for six months."
"By next Friday, he will have been writing his novel for six months."
"In a month, I will have been working on this project for half a year."
"By the end of the game, the athletes will have been competing for hours."
"By next week, she will have been running her own business for ten years."
"By next year, they will have been married for a decade."
They will have been traveling around the world for six months when they return home.
"By the end of the year, he will have been living in that city for a decade."
"By next summer, they will have been saving for their dream vacation for two years."
They will have been renovating the house for three months by the time they move in.
"In ten years, I will have been working at this company for twenty years."
"By the time the guests arrive, we will have been preparing all day."
"By the end of the semester, the students will have been studying hard for their exams."
"In a few hours, she will have been working on her painting all day."
"In a few months, they will have been dating for three years."
"By the time we graduate, we will have been attending this school for four years."
"In three days, they will have been camping in the mountains for a week."
"By the end of the month, she will have been working at this company for ten years."
"In three years, he will have been pursuing his passion for a decade."
"In five years, she will have been teaching at the university for a decade."
"By the time she graduates, she will have been studying at the university for four years."
They will have been building the house for six months when it's finally completed.
"By tomorrow, I will have been studying for the exam for a week."
I will have been waiting for your response all day long.
"By the time we finish this book, we will have been reading for hours."
"In two years, she will have been studying medicine for a decade."
He will have been taking piano lessons for six months by next month.
"By this time tomorrow, he will have been preparing for the exam for days."
"In two years, I will have been living in this city for half of my life."
"By the time he reaches retirement, he will have been working as a teacher for 40 years."
"By next month, they will have been promoting sustainability for years."
"By next summer, he will have been working at his current job for ten years."
I will have been practicing yoga consistently for a year by next month.
"By the time they arrive, I will have been waiting for hours."
"By next week, he will have been recovering from surgery for a month."
They will have been renovating their house for six months by the end of the year.
"By the time the concert starts, she will have been practicing her performance for weeks."
They will have been waiting for the bus for an hour when it finally arrives.
"By next month, they will have been dating for three years."
"By the time they finish filming, they will have been shooting the movie for six months."
I will have been waiting for this moment all my life.
They will have been dating for five years when they decide to get married.
We will have been working on this project for months by the deadline.
The team will have been working remotely for several months by the time they return to the office.
"By the end of the day, I will have been working on this report all day."
"In a year's time, he will have been working in this company for ten years."
"By the end of the day, they will have been playing video games for hours."
"By the time we finish this movie, we will have been watching for hours."
"By the time you wake up, I will have been cooking breakfast for an hour."
"By the end of the decade, they will have been married for twenty years."
The team will have been implementing the new marketing strategy for six months by next month.
"By the time you arrive, I will have been waiting for ages."
"By next year, he will have been working at the company for a decade."
"In three months, she will have been learning the guitar for a year."
"By the time you return, I will have been preparing dinner for everyone."
They will have been working on their business idea for two years by next January.
I will have been working on this project for months when it's finally completed.
"By the time the guests arrive, we will have been waiting all day."
"By next month, they will have been learning French for a year."
"In five years, I will have been working at this company for twenty years."
"In a few hours, he will have been waiting at the airport for her arrival."
"By the time they finish the documentary, they will have been filming for a year."
They will have been preparing for the exam for months when it arrives.
"By next summer, we will have been saving up for our dream vacation for a year."
"By the end of the day, I will have been studying for my exam all day."
"In a few hours, he will have been waiting in line for the concert tickets."
"By the end of the day, she will have been writing her book for weeks."
We will have been saving up for a new car for two years by the end of this year.
The project will have been ongoing for a year when it reaches completion.
"In three years, they will have been together as a couple for ten years."
I will have been writing my novel for a year by the time I finish the first draft.
"In a year's time, I will have been running this business for a decade."
"In two weeks, she will have been practicing the piano every day for a month."
"By the time they finish building the house, we will have been waiting for almost a year."
"In a week's time, she will have been working on her thesis for a year."
"In a year's time, she will have been learning French for five years."
The organization will have been advocating for environmental conservation for decades.
I will have been saving money for this vacation for a year by the time we leave.
"By tomorrow, she will have been working on the project for two weeks."
We will have been driving for hours by the time we reach our destination.
They will have been living in this neighborhood for ten years by the time of the anniversary.
"In two months, he will have been practicing the piano for five years."
"By the end of the day, the team will have been practicing for the championship for weeks."
"By the end of the month, the construction crew will have been building the bridge for six months."
He will have been managing the team for an extensive period by the end of the year.
"By next week, she will have been working at that company for five years."
