prompt,prompt_len,target
"Bernard VII, Count of Armagnac",9,1
Beatrice of Ornacieux,6,0
Ranulf de Glanvill,6,1
Bartolomeo di Fruosino,8,1
Johannes Hymmonides,5,1
Malek Ashraf,4,1
"Joan de Beauchamp, Baroness Bergavenny",9,0
Johann Dederoth,5,1
Fredericka of Saxe-Gotha-Altenburg,12,0
"Bernard II, Duke of Saxe-Lauenburg",10,1
Ivan Dmitrievich of Pereyaslavl,10,1
Margaret de Clare,4,0
"Harold Alexander, 1st Earl Alexander of Tunis",11,1
Wang Can,3,1
Baroness Anna Marie von Boskowicz und Schwarzenberg,12,0
Mechtild of Nassau,6,0
Margaret of Joinville,5,0
Luigi Dallapiccola,5,1
Menelaus of Alexandria,6,1
Ernst Platner,4,1
Li Qi,3,1
Franz Wilhelm von Spiegel zum Desenberg-Canstein,12,1
Nest Bloet,4,0
Dirck Rembrantsz van Nierop,10,1
Justinus van Nassau,5,1
Johann Jakob Breitinger,5,1
"George I, Earl of March",7,1
Johannes Hinderbach,5,1
"Elizabeth of Hesse-Kassel, Duchess of Mecklenburg",11,0
Chiara Matraini,5,0
Margaret of Hungary,4,0
Giovanni Solari,4,1
Kuno Fischer,4,1
Johann Christian Wilhelm Augusti,6,1
"John II, Lord of Culemborg",10,1
Thomas Bayes,3,1
Helen of Bosnia,4,0
Petra Kelly,3,0
Anne de Mortimer,4,0
Anna Seghers,5,0
Wilhelm Ritter von Thoma,5,1
Agafia of Rus,5,0
Zenta Mauriņa,5,0
Adèle of Dreux,6,0
Johanna Vergouwen,5,0
Johann Christian Schieferdecker,6,1
"Louis, Duke of Savoy",6,1
Fritz Fischer,3,1
Eduard Lassen,4,1
Abul-Hasan ibn Mirza Ghiyas Beg,10,1
"Maria Christina, Duchess of Teschen",8,0
Teresa Gil,3,0
Guillaume d'Aigrefeuille l'Ancien,10,1
Dorothea Susanne of Simmern,7,0
Rudolf Stüssi,5,1
Antonín Dvořák,6,1
Lu Lingxuan,4,0
Otto Hesse,3,1
Vladimir III Mstislavich,7,1
John Webster,3,1
Wang Wan,3,1
"Sophia Jagiellon, Margravine of Brandenburg-Ansbach",15,0
Wang Shizhen (Tang dynasty),8,1
Edith of Wilton,4,0
Friedrich von Fronau,5,1
Tryphaena,4,0
Beatrice of Lorraine,4,0
Francesco Laurana,4,1
"Sophia von Kielmansegg, Countess of Darlington",11,0
"Geoffrey, Count of Eu",6,1
Heinrich Grymhardt,5,1
Jan Mandijn,4,1
Conrad III Kettler,5,1
Lais of Hyccara,7,0
Master of Messkirch,5,1
Princess Marie Amelie of Baden,7,0
Su Zhe,4,1
Eleanor de Montfort,5,0
Johann Friedrich August Kinderling,6,1
"Elisabeth of Bavaria, Queen of Germany",8,0
Sigtrygg Silkbeard,6,1
"Peter II, Count of Savoy",7,1
Johann von Sporck,5,1
Michiko,3,0
Drahomíra,5,0
Valentine,2,1
Luís de Camões,6,1
Wilhelm I. von Diepholz,8,1
Karl Etzel,4,1
Henry de Audley,5,1
"Maria, Marchioness of Tortosa",9,0
Malik al-Ashtar,6,1
Daniel Casper von Lohenstein,6,1
Heinrich von Brentano,5,1
Johann Cornies,4,1
William I,3,1
Joseph Partsch,4,1
Hodierna of Jerusalem,6,0
"John, Landgrave of Lower Hesse",8,1
Daniel Nettelbladt,6,1
Giovanni Battista Castello,4,1
Kunigunde of Altdorf,8,0
Henriette von Crayen,6,0
Arrigo della Rocca,5,1
Margaret of Cortona,5,0
Emmy Göring,5,0
Margaret of Savoy,4,0
Hanna van Recklinghausen,6,0
Katharina Zell,4,0
Adam ibn Abi Iyas,6,1
Rolf Turkka,4,1
Caroline von Holnstein,5,0
Charlotte von Ahlefeld,6,0
"Anne Neville, Duchess of Buckingham",7,0
Erbin of Dumnonia,7,1
Katharina of Baden,5,0
Einar Þorgilsson,7,1
Julius Fürst,3,1
Anne Hutchinson,3,0
Olympias,3,0
Piet Kraak,4,1
Isabella of Aragon,4,0
Dorothea Friederike of Brandenburg-Ansbach,11,0
Jan Jansz van de Velde,8,1
Titus Hosmer,4,1
Lady Katherine Grey,4,0
Alida Withoos,5,0
Elizabeth Woodville,4,0
Marie of Hohenstaufen,6,0
Davit Garejeli,5,1
Duchess Marie Gabrielle in Bavaria,7,0
"George Gustavus, Count Palatine of Veldenz",11,1
Murong Zhong,4,1
Christine of Baden-Durlach,7,0
"Gaston of Foix, Prince of Viana",10,1
"Ana de Mendoza y Enríquez de Cabrera, 6th Duchess of the Infantado",19,0
François Viète,4,1
Anthony of Novgorod,4,1
Claus Harms,3,1
Eilika of Saxony,6,0
"Frederick Henry, Duke of Saxe-Zeitz-Pegau-Neustadt",17,1
William Devereux,5,1
Mustafa Çelebi,5,1
Suzanne Roquette,4,0
Caecilia Metella,6,0
Silvio Gesell,5,1
Enrique Crespo,3,1
"Margaret Pole, Countess of Salisbury",7,0
Friedrich Carl Ludwig Sickler,6,1
Gérard d'Enghien-Havré,10,1
Adelheid of Wolfratshausen,7,0
Filippo Azzaiolo,6,1
Samuel van Hoogstraten,6,1
"John II, Count of Egmond",8,1
Marta Bohn-Meyer,5,0
Du Hongjian,4,1
Gilles Joye,4,1
Hermann Abendroth,4,1
Joseph Schubert,3,1
Uliana of Tver,6,0
Mary I of England,5,0
Arsinoe III of Egypt,7,0
Husayn Bayqarah,6,1
Cecilia of Brandenburg,4,0
Stanisław of Skarbimierz,8,1
"Marie I, Countess of Boulogne",7,0
Johann Franz Buddeus,5,1
Yolande of Dreux,7,0
Heinrich Wuttke,5,1
Sigismund I the Old,7,1
Herbert Otto Gille,5,1
Marie de Coucy,5,0
Abraham Wheelocke,5,1
Elisabeth of Brandenburg-Ansbach-Kulmbach,11,0
Fan Kuai,4,1
Beinta Broberg,5,0
"Joan of Ponthieu, Dame of Epernon",12,0
Govert Flinck,5,1
Wilhelm Reinhard von Neipperg,7,1
Hanna Reitsch,4,0
Beatrice of Portugal,4,0
Adam Mikołaj Sieniawski,7,1
Empress Xu Pingjun,6,0
Francesco I de' Medici,6,1
Barbara of Portugal,4,0
"Margaret Stanley, Countess of Derby",7,0
Mechthild of Bavaria,6,0
Sophia of Wittelsbach,6,0
Gertrude B. Elion,7,0
Jakob Sporrenberg,5,1
Georg Friedrich von Reichenbach,6,1
Adam of Usk,5,1
Helen Meier,3,0
John Brugman,4,1
Margareta Eriksdotter Vasa,10,0
Andrew Umfray,5,1
"Walter Butler, 11th Earl of Ormond",12,1
Heinrich der Fromme vom Gleißberg,9,1
Muhammad ibn Ahmad al-Khwarizmi,10,1
William of Champlitte,6,1
Bernard of Cluny,5,1
John Campbell-Jones,5,1
Eléanore de Roye,8,0
"Leopold III, Duke of Anhalt-Dessau",11,1
Dirck Gerritsz Pomp,8,1
"Anne of York, Duchess of Exeter",8,0
Anastasia of Rome,4,0
"Walter de Burgh, 1st Earl of Ulster",11,1
Andrew II of Hungary,5,1
Empress Yide,5,0
Hildegard von Stein,5,0
Henry II of Werl,6,1
Karl Richard Lepsius,5,1
Isabelle Romée,4,0
"Thomas de Scales, 7th Baron Scales",10,1
"Margaret, Countess of Anjou",7,0
Christian Friedrich von Glück,5,1
Bertha van Heukelom,8,0
Julian,2,1
Johannes Althusius,5,1
Saint Rosalia,4,0
Violante Visconti,4,0
Johann Georg Grasel,5,1
Jan Utenhove,5,1
Katharina Henot,5,0
Richard Böhm,4,1
Jeanne Ire d'Albret,7,0
John the Fearless,5,1
"Welf II, Duke of Bavaria",8,1
Sophie von Kühn,5,0
"Blanche of France, Duchess of Austria",9,0
Margaret Beauchamp of Bletso,7,0
Beatrice Cenci,4,0
Gustav I of Sweden,5,1
Willi Stoph,4,1
Giulio Pace,4,1
Waltrude,3,0
Dorotea Bucca,5,0
Ivan Bunin,4,1
Sigrid the Haughty,6,0
Adelaide of Hungary,4,0
Daniel von Büren,5,1
François de Coligny,6,1
Alice Perrers,4,0
Margaret of Brandenburg,4,0
Caroline von Briest,5,0
Nicolaus Anton Friedreich,6,1
Hugh the Black,4,1
Franz Xaver Bronner,6,1
Adelaide of Sommerschenburg,6,0
Christoph Weigel the Elder,6,1
Philipp Hainhofer,4,1
"John Frederick, Duke of Pomerania",8,1
Jeanne of Harcourt,4,0
Margarethe von der Saale,7,0
Laura Margherita Mazzarini,6,0
Livia Orestilla,6,0
Michel Jobert,4,1
Laurent Dauthuille,5,1
Jacqueline Pascal,3,0
Samuel Rodigast,5,1
Jacob van Eyck,5,1
Helena of Skövde,6,0
Beatrix of Andechs-Merania,10,0
Emilie of Saxony,5,0
Consort Dowager An,6,0
Miles Franklin,3,0
Felix Fabri,3,1
Victoria Drummond,3,0
Winifred Wagner,4,0
Tomáš Pešina z Čechorodu,10,1
Johanna van Clermont,4,0
Shao Yong,4,1
Jeanne d'Albret,6,0
Ivo Taillebois,4,1
Mathilda of Dendermonde,7,0
Sophia von Sachsen,4,0
Friedrich Albrecht zu Eulenburg,7,1
Sophia of Holstein-Gottorp,8,0
Ibn Abi-Umara,6,1
Judith of Brandenburg,4,0
Elizabeth of Kuyavia,6,0
Hugh of Abernethy,6,1
Theodora,3,0
Joseph Franz Auersperg,6,1
Margaret of Burgundy,4,0
Margareta of Baden,6,0
Uta von Ballenstedt,7,0
Susanna Margarete of Anhalt-Dessau,11,0
Eleanor Marx,3,0
Joanna of Castile,4,0
"Joan de Geneville, 2nd Baroness Geneville",12,0
Princess Friederike Luise of Prussia,9,0
Eulalia of Barcelona,6,0
Friedrich von Doenhoff,6,1
Clinton Clauson,4,1
Helbirga of Austria,6,0
Anton Günther,3,1
"Walter, Count of Rethel",7,1
Margaret Colonna,3,0
Gloria Grahame,4,0
Jules Renkin,4,1
Lev Berg,3,1
Simonetta Vespucci,6,0
Isabella of Cyprus,4,0
Adelaide of Poland,4,0
Jutta Lampe,4,0
"Thomas de Beaumont, 6th Earl of Warwick",11,1
Countess Magdalena of Waldeck,7,0
Konstantinos VII,5,1
Blanche of Ponthieu,7,0
Juan Pacheco,3,1
Gerardo Landriani Capitani,8,1
Agnes of Burgundy,4,0
Pierre Bersuire,4,1
Johannes Nauclerus,5,1
Bianca of Savoy,4,0
Gu Kuang,4,1
Elisabeth of Wetzikon,6,0
Isabella d'Este,5,0
"Elizabeth of Hungary, Duchess of Bavaria",8,0
Sibylla of Burgundy,5,0
Adeliza de Borgomanero,7,0
Dirk II van Valkenburg,7,1
Bernard Plantapilosa,6,1
Vladislaus I,5,1
Wilhelmine Amalia of Brunswick-Lüneburg,11,0
Heinrich I von Wettin,6,1
Abu l-Futuh al-Razi,10,1
Antonie Brentano,5,0
Johann Schelle,4,1
Letitia Christian Tyler,5,0
Duchess Marie of Württemberg,7,0
Gisela von Arnim,6,0
Tamar of Georgia,4,0
Salomon Idler,5,1
Rhodri the Great,5,1
Pieter de Coninck,5,1
Adele of Meaux,5,0
Adjutor,3,1
Edith Frank-Holländer,6,0
"Catherine of Austria, Queen of Portugal",8,0
Princess Magdalena Augusta of Anhalt-Zerbst,10,0
John Gregg,3,1
Alexandros of Aphrodisias,8,1
Liu Ling,3,1
Elizabeth de Comyn,5,0
Andreas Rauch,3,1
Nijō Tameuji,6,1
Willem van Nieulandt II,7,1
"Geoffrey, Count of Ragusa",7,1
Nicolaus Olahus,6,1
Empress Wang,4,0
John Twenge,4,1
Jean de Joinville,5,1
Henry of Schweinfurt,6,1
Martin Folkes,4,1
Juan de Salcedo,5,1
"John IV, Landgrave of Leuchtenberg",10,1
Bridget of York,4,0
Harry Brodribb Irving,6,1
"Margaret de Bohun, Countess of Devon",9,0
Empress Yang Yan,5,0
Empress Quan,4,0
Augustinus Olomucensis,6,1
Sophie of Pomerania,5,0
Elisabeth Ludovika of Bavaria,6,0
Sophia of Denmark,4,0
Sigmund von Pappenheim,7,1
Katharina Matz,5,0
Gottlob Burmann,5,1
Cleopatra III of Egypt,6,0
Élisabeth Sophie Chéron,6,0
"Charles of Lorraine, duke of Mayenne",9,1
Vittoria Accoramboni,7,0
Władysław of Legnica,8,1
Mary of Egypt,4,0
Corrado Malaspina,6,1
L. B. Abbott,6,1
Urban VII,3,1
Muhammad I of Córdoba,5,1
"Hawise, Duchess of Brittany",7,0
Princess Maria Carolina of Savoy,6,0
Theodor Bilharz,6,1
Theodor Leutwein,6,1
Albert Peter,3,1
Katharina Kepler,4,0
"Isabella of Aragon, Queen of Portugal",8,0
Giacomo Del Carretto,6,1
Dirk van Hodenpyl,6,1
Maria of Portugal,4,0
Francis Walsingham,4,1
Zoska Veras,6,0
Gontrodo Pérez,5,0
Louis Plack Hammett,6,1
Julia of Corsica,4,0
Caterina Cavalieri,5,0
"Matilda FitzRoy, Countess of Perche",10,0
Arsinoe IV of Egypt,7,0
Duje Bonačić,5,1
Archduchess Maria Anna of Austria,8,0
Mladen II Šubić of Bribir,10,1
Begga,3,0
Günter Eich,4,1
Theodora of Thessaloniki,5,0
"Reginald III, Duke of Guelders",10,1
Cleopatra III of Egypt,6,0
Ignacy Łukasiewicz,6,1
Kaspar Stockalper,6,1
Marie Thérèse Rodet Geoffrin,8,0
Krishna III,3,1
Dag Hammarskjöld,7,1
Bertrand d'Anduze,6,1
Anna of Tyrol,4,0
Frithuswith,4,0
Princess Wilhelmina of Hesse-Kassel,9,0
Margaret Hutchinson Rousseau,4,0
Henriette Hendel-Schütz,8,0
Zsófia Illésházy,8,0
"Otto I, Count of Salm",8,1
Hedwig of Nordgau,6,0
Helen Blanchard,3,0
Hermann Allmers,4,1
François-René Gebauer,6,1
Abd ar-Rahman II,6,1
Jean Meslier,4,1
Joanna of Bourbon,4,0
Konstantinos III,5,1
Nicole de Savigny,5,0
Margot Moe,3,0
"Isabella de Fortibus, Countess of Devon",9,0
Pál Kinizsi,6,1
Walter de Clare,4,1
Heinrich Opitz,4,1
Duke Peter of Oldenburg,5,1
Johann August Arens,5,1
"Theodora Komnene, Princess of Antioch",9,0
Adelaide of Saxe-Meiningen,8,0
Sophia of Bavaria,4,0
"Christian Günther III, Prince of Schwarzburg-Sondershausen",13,1
Joseph Trani,4,1
"Guy IV, Count of Saint-Pol",9,1
Empress Guo,4,0
Senta Wengraf,5,0
"Baldwin de Redvers, 1st Earl of Devon",12,1
Adrienne Lecouvreur,6,0
Princess Philippine Charlotte of Prussia,6,0
King Xie of Zhou,5,1
Godfrey I of Vianden,7,1
Saint Sabina,3,0
Barbara Sophie of Brandenburg,5,0
Sa'd ibn Ubadah,7,1
"George Talbot, 4th Earl of Shrewsbury",10,1
Guillaume Dubois,3,1
Amalia Wilhelmina Königsmarck,7,0
Magdalena Wilhelmine of Württemberg,7,0
Malcolm IV of Scotland,5,1
Eleanor of Castile,4,0
Anne de Laval,4,0
Guillaume de la Sudrie,6,1
Empress Zhang,4,0
Edith Hannam,4,0
Simonetta Vespucci,6,0
"Pierre Brûlart, marquis de Sillery",11,1
Françoise Prévost,5,0
Amalie Dietrich,4,0
Margaret of Valois,5,0
Richenza of Northeim,6,0
Johann Benedict Carpzov,5,1
Áurea of San Millán,7,0
Adam Frans van der Meulen,7,1
Regina,2,0
Johann of Isenberg-Limburg,8,1
Isidore of Beja,7,1
"Friedrich Wilhelm, Count Brandenburg",6,1
Uhwudong,5,0
Bertrand de Blanchefort,5,1
"Philippa, 5th Countess of Ulster",10,0
Elvira Mendes,4,0
Barthel Bruyn the Elder,7,1
Grace Hopper,3,0
Sophia of Holstein-Gottorp,8,0
Arthur Ashe,3,1
Hanna Reitsch,4,0
"Constance of France, Princess of Antioch",9,0
Indira Sant,4,0
Adelheid Popp,4,0
Manfred of Athens,4,1
Isabella of Mar,4,0
Christina Gyllenstierna,7,0
Teresa Margaret Redi,5,0
Al-Mutawakkil Ahmad bin Sulayman,11,1
Heinrich Toppler,4,1
Owain ap Cadwgan,7,1
"Elisabeth of Brandenburg, Duchess of Württemberg",9,0
Johanna Magdalena of Saxe-Altenburg,9,0
"John IV, Count of Oldenburg",7,1
Frank Gorshin,5,1
Élisabeth Sophie Chéron,6,0
Catherine of Brandenburg,4,0
Gaspar van Weerbeke,7,1
Princess Marie of Waldeck and Pyrmont,10,0
Thoros III,4,1
Li Zhongyan,4,1
Otto von Camphausen,5,1
Agnes von Werdenberg-Trochtelfingen,11,0
Constantine III of Cilicia,7,1
Empress Xu,4,0
"Rudolf IV, Margrave of Baden-Pforzheim",12,1
Ermengarde of Zutphen,8,0
Georg Thym,4,1
Countess Palatine Francisca Christina of Sulzbach,11,0
Judith von Pihartingen,7,0
Rudolf Stüssi,5,1
Rudolf von Delbrück,5,1
Hedwig of Gudensberg,7,0
Christian Adolph Klotz,5,1
Thelma Estrin,5,0
Demetrius II of India,7,1
"Maria of Aragon, Lady of Cameros",9,0
Alexander Joseph Sulkowski,5,1
Anne de Laval,4,0
Beatrice of Lorraine,4,0
Hildegard of Bingen,6,0
Sibylle of Baden,5,0
Ernst Raupach,4,1
Johanna von Puttkamer,6,0
Charles-Georges Le Roy,6,1
Elizabeth of Nevers,5,0
Giovanni Paisiello,4,1
Hedwig of the Palatinate-Sulzbach,12,0
Bertoldo di Giovanni,6,1
Mathilde Fibiger,5,0
Marcel Ospel,4,1
Maria Dolgorukova,6,0
Johann Moritz Gustav Manderscheid Blankenheim,10,1
Chlothar IV,5,1
Elizabeth of Schönau,5,0
Henry II of Niemodlin,7,1
Heinrich Bürger,3,1
Marie Leszczyńska,5,0
Anna de Noailles,5,0
Maria of Amalfi,5,0
Martin Stephan,3,1
Stéphanie de Beauharnais,8,0
Colin Maclaurin,5,1
Friederike Krüger,6,0
Miyu Matsuki,5,0
Hans Meinhard von Schönberg,7,1
"Margaret of Bohemia, Queen of Hungary",8,0
Empress Wang,4,0
Albert of Vercelli,5,1
Rotrude of Trier,5,0
Franz Delitzsch,5,1
Alessandro Algardi,5,1
Ida of Saxony,4,0
Adelheid van Tours,5,0
Marie Calm,3,0
Julius Léopold Eduard Avé-Lallemant,11,1
Louise of Stolberg-Wernigerode,10,0
Johann Heinrich Merck,4,1
Otto Mencke,4,1
Alexander Suslin,4,1
Robert de Bingham,4,1
Agnes II,3,0
Sima Liang,4,1
"Henry Percy, 9th Earl of Northumberland",10,1
Giovanni Gradenigo,5,1
Erhard of Queis,6,1
Michael Glycas,4,1
Hans Sachs,3,1
"Alice de Warenne, Countess of Arundel",9,0
Isabella of Hainault,5,0
Lucrezia de' Medici,7,0
Pietro Lombardo,3,1
Charlotte Aglaé d'Orléans,8,0
Friedrich Sämisch,4,1
Felipa de Souza,6,0
Algirdas,4,1
Linda Lovelace,4,0
Princess Charlotte of Saxe-Hildburghausen,10,0
Christian Dietrich Grabbe,5,1
Étienne Loulié,4,1
Gontrodo Pérez,5,0
Edmund Dulac,5,1
"Reginald I, Count of Bar",8,1
Princess Gaoyang,4,0
E. Marlitt,5,0
Clare of Rimini,4,0
Willa of Tuscany,5,0
Denise de Déols,5,0
Friederike Caroline Neuber,7,0
Theodore Rshtuni,5,1
Johanna Elisabeth of Baden-Durlach,8,0
Beatrice d’Este,5,0
Jiang Wan,3,1
"Margaret I, Countess of Burgundy",7,0
Marie Luise von Degenfeld,8,0
Adelaide of Brunswick,4,0
Sarah Fielding,3,0
"Mary of Scotland, Countess of Boulogne",8,0
Jack Ritchie,3,1
Curd Jürgens,6,1
Saint Alexandra,3,0
Samuel von Schmettau,6,1
Margaret of Brandenburg,4,0
Louis IX,3,1
Adolf Reinach,4,1
Anna of Glogau,6,0
Augustin Bea,4,1
Margareta Brahe,6,0
Carl Friedrich Wenzel,5,1
Princess Helena of Nassau,5,0
Lambert II of Spoleto,7,1
María de Salinas,4,0
Fantinus,4,1
"Maud FitzJohn, Countess of Warwick",9,0
"Matilda of Brandenburg, Duchess of Poland",9,0
Constance of Toulouse,5,0
Marie Louise Élisabeth d'Orléans,8,0
Andrea di Giusto,5,1
Olga Chekhova,5,0
"Anna of Poland, Countess of Celje",9,0
Dagobert II,5,1
"Catherine de Vivonne, marquise de Rambouillet",12,0
Bernhard von Rohr,4,1
Renee of France,4,0
Jean Batten,4,0
C. L. Lehmus,7,1
Rose of Turaida,6,0
Forese Donati,5,1
Barbara Longhi,4,0
Reginald de Vautort,7,1
Christine de Pizan,5,0
Akbar,3,1
Madame du Barry,4,0
Ludwig Hartmann,3,1
Costanza Farnese,5,0
Agatha Christine of Hanau-Lichtenberg,11,0
"Stephen I, Count of Troyes",8,1
Antonia Minor,4,0
Empress Yuan Leshang,6,0
Sophie Charlotte of Hesse-Kassel,8,0
Duchess Anna of Prussia,6,0
Gertrud Elisabeth Mara,5,0
Sumayyah bint Khayyat,7,0
Agnes of Schlesien Liegnitz,8,0
Ibn al-Qabisi,7,1
Michiel van Musscher,6,1
Nina Teplyakova,5,0
Johann Trommsdorff,5,1
Princess Marie of Hesse-Kassel,8,0
Nicolas Appert,4,1
Berenice IV of Egypt,7,0
Anna Elisabeth of Palatinate-Simmern,10,0
Georg Wolfgang Wedel,5,1
Alexander Kanoldt,4,1
Emma P. Carr,5,0
Lazar Branković,4,1
Alberto di Chiavari,5,1
Giacomo Dondulo,5,1
Ulrich Schwarz,3,1
Sophia Dorothea of Celle,5,0
"Godfrey II, Count of Louvain",8,1
Beatrix of Andechs-Merania,10,0
"Charles Somerset, Marquess of Worcester",8,1
Margarete of Austria,6,0
Étienne de Flacourt,5,1
Giovanni Boccaccio,4,1
Elisabeth of Valois,5,0
Anna of Hungary,4,0
Hedwig of Brandenburg,5,0
Hans Baur,4,1
Marie de Foix,5,0
Johann I. von Egloffstein,8,1
Catherine Parr,3,0
Princess Augusta Reuss of Köstritz,9,0
Gontrodo Pérez,5,0
Liu Ruyi,4,1
"Waldemar VI, Prince of Anhalt-Köthen",12,1
Maria Josefa Canellada,7,0
"Theobald II, Duke of Lorraine",8,1
Li Xian,3,1
Jean Lobstein,4,1
"Ranulf II, Count of Alife",9,1
"Otto I, Margrave of Meissen",9,1
"Isabella, Countess of Vertus",7,0
Gustav Roch,3,1
Teresa Alfonso de León,5,0
Magdalene of Bavaria,6,0
Adelaide of Holland,4,0
Amalia of Oldenburg,5,0
Elizabeth of Serbia,4,0
Ibrahim of Ghazna,5,1
"Hermann, Prince of Wied",6,1
Hermann Levi,3,1
Princess Sophie of Saxony,5,0
Johannes von Thienen,5,1
John Stewart of Darnley,6,1
Leopoldine Eleonore von der Pfalz,8,0
Margaret of Artois,5,0
Johann Daniel Herrnschmidt,6,1
Karen Simensen,4,0
Vibeke Kruse,4,0
Cornelius Jansen,4,1
Anne of Foix-Candale,8,0
Ruby Hirose,4,0
Amadeus II of Montfaucon,8,1
Gottfried II. von Apremont,8,1
Haya Harareet,5,0
Girolamo del Pacchia,6,1
Helen of Zadar,5,0
Alida Withoos,5,0
Henriette Sontag,5,0
Lady Wu,3,0
Jacobus Vaet,5,1
Mechthild of Magdeburg,6,0
Andrew of Galicia,4,1
"August Philipp, Duke of Schleswig-Holstein-Sonderburg-Beck",14,1
Mary of Chatillon,5,0
"Edmund, 2nd Earl of Cornwall",9,1
Margareta,4,0
Allen G. Debus,6,1
Berenice IV of Egypt,7,0
Marie of Dampierre,5,0
Günter Grass,4,1
Saul of Hungary,4,1
Jakob Ceporin,4,1
Arnold II van Hulsberg,7,1
"Elizabeth of Hesse-Kassel, Duchess of Mecklenburg",11,0
Abd al-Malik I,6,1
Ptolemy Eupator,6,1
Claude of Valois,5,0
María de Molina,4,0
Leonardo Bruni,4,1
Bolko III of Strzelce,8,1
Jan Sanders van Hemessen,6,1
Bogdan IV of Moldavia,7,1
René de Saussure,5,1
Ermengarde of Tonnerre,8,0
Kang Gyeong-ae,6,0
Enno I,4,1
Maria Miloslavskaya,5,0
Elvira of Leon,5,0
Fu Yi,3,1
"Joan, Countess of Blois",7,0
"Beatrice of Bourbon, Queen of Bohemia",8,0
Anna de Noailles,5,0
Princess Auguste of Bavaria,5,0
"Barbara of Brandenburg, Duchess of Brieg",9,0
Aikaterini Cornaro,7,0
Hildegard of Bingen,6,0
Walter Gordon,3,1
